id,categoria,nombre,kpi,impacto,confianza,esfuerzo,ice,owner,estado,fecha_objetivo,notas
43,Ingeniería/DevOps,Alertas de incidentes/métricas,,,,,,,backlog,,
44,Ingeniería/DevOps,IaC con validaciones/plan,,,,,,,backlog,,
45,Ingeniería/DevOps,Backups programados verificados,,,,,,,backlog,,
46,Ingeniería/DevOps,Rotación automática de secretos,,,,,,,backlog,,
47,Ingeniería/DevOps,Autoscaling y health checks,,,,,,,backlog,,
48,Ingeniería/DevOps,Auditoría de dependencias/vulns,,,,,,,backlog,,
49,Ingeniería/DevOps,Feature flags/canary/rollbacks,,,,,,,backlog,,
50,Ingeniería/DevOps,Monitoreo SLO/SLI con reportes,,,,,,,backlog,,
51,Finanzas,Facturación recurrente y prorrateos,,,,,,,backlog,,
52,Finanzas,Recordatorios automáticos de pago,,,,,,,backlog,,
53,Finanzas,Dunning inteligente pagos fallidos,,,,,,,backlog,,
54,Finanzas,Emisión y envío de facturas PDF,,,,,,,backlog,,
55,Finanzas,Conciliación bancaria por reglas,,,,,,,backlog,,
56,Finanzas,Informes MRR/ARR/Churn mensuales,,,,,,,backlog,,
57,Finanzas,Comisiones de ventas automáticas,,,,,,,backlog,,
58,Finanzas,Presupuestos y aprobaciones workflow,,,,,,,backlog,,
59,Finanzas,Registro de gastos con OCR,,,,,,,backlog,,
60,Finanzas,Alertas de desviaciones/cash runway,,,,,,,backlog,,
61,RRHH,Onboarding de empleados y accesos,,,,,,,backlog,,
62,RRHH,Firma electrónica de contratos,,,,,,,backlog,,
63,RRHH,Flujos de aprobación de vacaciones,,,,,,,backlog,,
64,RRHH,Recordatorios de desempeño y 1:1s,,,,,,,backlog,,
65,RRHH,Encuestas eNPS trimestrales,,,,,,,backlog,,
66,RRHH,Offboarding seguro (revocar accesos),,,,,,,backlog,,
67,RRHH,Payroll con variables automatizadas,,,,,,,backlog,,
68,RRHH,Reembolsos de gastos con aprobación,,,,,,,backlog,,
69,RRHH,Celebraciones automáticas en Slack,,,,,,,backlog,,
70,RRHH,Recomendaciones de formación por rol,,,,,,,backlog,,
71,Operaciones,Inventario con puntos de reorden,,,,,,,backlog,,
72,Operaciones,Tracking de pedidos y notificaciones,,,,,,,backlog,,
73,Operaciones,Asignación de tareas por SLA,,,,,,,backlog,,
74,Operaciones,Etiquetado/documentación de envíos,,,,,,,backlog,,
75,Operaciones,Reposición automática con proveedores,,,,,,,backlog,,
76,Operaciones,Ruteo optimizado de entregas,,,,,,,backlog,,
77,Operaciones,Alertas de ruptura de stock,,,,,,,backlog,,
78,Operaciones,Mantenimiento preventivo programado,,,,,,,backlog,,
79,Operaciones,Reportes operativos automáticos,,,,,,,backlog,,
80,Operaciones,Dashboards de eficiencia en tiempo real,,,,,,,backlog,,
81,Legales/Cumplimiento,Gestión de consentimientos privacidad,,,,,,,backlog,,
82,Legales/Cumplimiento,Archivado de contratos/versionado,,,,,,,backlog,,
83,Legales/Cumplimiento,Recordatorios de vencimientos legales,,,,,,,backlog,,
84,Legales/Cumplimiento,Detección/Redacción de PII repos,,,,,,,backlog,,
85,Legales/Cumplimiento,Revisión legal de campañas,,,,,,,backlog,,
86,Legales/Cumplimiento,Auditorías de acceso/registros,,,,,,,backlog,,
87,Legales/Cumplimiento,Plantillas NDAs/MSAs con firma,,,,,,,backlog,,
88,Legales/Cumplimiento,Respuestas a solicitudes de datos,,,,,,,backlog,,
89,Legales/Cumplimiento,Verificación KYC/AML,,,,,,,backlog,,
90,Legales/Cumplimiento,Reportes de cumplimiento y evidencias,,,,,,,backlog,,
91,Analítica/Estrategia,ELT/ETL a data warehouse,,,,,,,backlog,,
92,Analítica/Estrategia,Atribución y cohortes diarios,,,,,,,backlog,,
93,Analítica/Estrategia,Alertas de anomalías en KPIs,,,,,,,backlog,,
94,Analítica/Estrategia,Enriquecimiento y scoring de cuentas,,,,,,,backlog,,
95,Analítica/Estrategia,Dashboards ejecutivos automatizados,,,,,,,backlog,,
96,Analítica/Estrategia,Forecast de ingresos/demanda,,,,,,,backlog,,
97,Analítica/Estrategia,Segmentación RFM + triggers campañas,,,,,,,backlog,,
98,Analítica/Estrategia,Health score de cuentas,,,,,,,backlog,,
99,Analítica/Estrategia,Repositorio de métricas y owners,,,,,,,backlog,,
100,Analítica/Estrategia,Cadencia de OKRs automatizada,,,,,,,backlog,,



