id,dm_type,language,tone,niche,hook,benefit,proof,scarcity,cta,cta_keyword,link_base,utm_campaign,merge_first_name,merge_company,merge_industry,notes,cta_group,cta_text,experiment_id,message_len,tone_formality,risk_level,optout_copy,variant_status,last_updated
DM3-C4,bulk,EN,neutral,general,Full docs from 1 prompt,2-5 min output,Priority access,3 seats,YES,YES,https://tudominio.com/demo-ia-bulk,iabulk_demo_en,{{first_name}},,,EN,C,YES,cta_test_2025w44,66,neutral,low,Responde STOP para salir,active,2025-10-30
DM3-C5,bulk,PT,neutral,general,Documentos completos de 1 prompt,2-5 min,Acesso prioritário,3 vagas,SIM,SIM,https://tudominio.com/demo-ia-bulk,iabulk_demo_pt,{{first_name}},,,PT,C,SIM,cta_test_2025w44,71,neutral,low,Responde STOP para salir,active,2025-10-30
DM3-C6,bulk,ES,tuteo,real_estate,Fichas+comparables,Correos seguimiento,Caso mercado,3 cupos,SÍ,SÍ,https://tudominio.com/demo-ia-bulk,iabulk_demo_re,{{first_name}},,real_estate,,C,SÍ,cta_test_2025w44,62,informal,low,Responde STOP para salir,active,2025-10-30
DM3-C7,bulk,ES,vos,consultoria,Propuesta 10 páginas,Análisis+roadmap+pricing,Ejemplo PDF,3 cupos,SÍ,SÍ,https://tudominio.com/demo-ia-bulk,iabulk_demo_latam,{{first_name}},,,vos,C,SÍ,cta_test_2025w44,68,informal,low,Responde STOP para salir,active,2025-10-30
DM3-C8,bulk,ES,usted,producto,Plan negocio+reporte,Desde una pregunta,Acceso privado,3 plazas,QUIERO,QUIERO,https://tudominio.com/demo-ia-bulk,iabulk_demo_prod,{{first_name}},,,,C,QUIERO,cta_test_2025w44,70,formal,low,Responde STOP para salir,active,2025-10-30
DM3-C9,bulk,ES,tuteo,educacion,Guiones+rúbricas,Informes avance,Plantillas,3 cupos,SÍ,SÍ,https://tudominio.com/demo-ia-bulk,iabulk_demo_edu,{{first_name}},,educacion,,C,SÍ,cta_test_2025w44,54,informal,low,Responde STOP para salir,active,2025-10-30
DM3-C10,bulk,ES,tuteo,B2B,Executive summaries,Anexos+checklists,GDPR+privado,3 cupos,LINK,LINK,https://tudominio.com/demo-ia-bulk,iabulk_demo_b2b,{{first_name}},{{company}},,,,C,LINK,cta_test_2025w44,63,informal,low,Responde STOP para salir,active,2025-10-30
DM1-U1,curso,ES,tuteo,ecommerce,IA en tus fichas hoy,SKUs en minutos,Caso real 2x,8 cupos,RESERVA,RESERVA,https://tudominio.com/webinar-ia,webinar_ia_uc_ecom,{{first_name}},,ecommerce,Ultra-corto,A,RESERVA,cta_test_2025w44,120,informal,low,Responde STOP para salir,active,2025-10-30
DM1-U2,curso,EN,neutral,b2b_saas,Save hours now,Playbooks in 24h,Proof inside,8 seats,RESERVE,RESERVE,https://tudominio.com/webinar-ia,webinar_ia_uc_en,{{first_name}},,,Ultra-short,A,RESERVE,cta_test_2025w44,118,neutral,low,Reply STOP to opt out,active,2025-10-30
DM1-U3,curso,PT,neutral,education,+aulas em 1h,Planos prontos,Exemplo real,8 vagas,RESERVAR,RESERVAR,https://tudominio.com/webinar-ia,webinar_ia_uc_pt,{{first_name}},,,Ultra-curto,A,RESERVAR,cta_test_2025w44,116,neutral,low,Responda STOP para sair,active,2025-10-30
DM2-U1,saas,ES,usted,B2B,7 min campañas,ROI live,Cliente +340%,2 cupos,AGENDA,AGENDA,https://tudominio.com/demo-saas-ia,saas_uc_b2b,{{first_name}},{{company}},,Ultra-corto,B,AGENDA,cta_test_2025w44,128,formal,low,Responde STOP para salir,active,2025-10-30
DM2-U2,saas,ES,tuteo,ecommerce,UGC al vuelo,Variantes por SKU,Case DTC,2 cupos,DEMO,DEMO,https://tudominio.com/demo-saas-ia,saas_uc_ecom,{{first_name}},,ecommerce,Ultra-corto,B,DEMO,cta_test_2025w44,124,informal,low,Responde STOP para salir,active,2025-10-30
DM2-U3,saas,EN,neutral,startup,Ship faster,No headcount,Live ROI,2 seats,DEMO,DEMO,https://tudominio.com/demo-saas-ia,saas_uc_en,{{first_name}},{{company}},startup,Ultra-short,B,DEMO,cta_test_2025w44,121,neutral,low,Reply STOP to opt out,active,2025-10-30
DM3-U1,bulk,ES,usted,real_estate,Docs impecables,Análisis en 2',PDF muestra,3 plazas,QUIERO,QUIERO,https://tudominio.com/demo-ia-bulk,iabulk_uc_re,{{first_name}},,real_estate,Ultra-corto,C,QUIERO,cta_test_2025w44,122,formal,low,Responde STOP para salir,active,2025-10-30
DM3-U2,bulk,ES,tuteo,consultoria,Propuesta lista,10 páginas en min,Caso 40h/sem,3 cupos,SÍ,SÍ,https://tudominio.com/demo-ia-bulk,iabulk_uc_cons,{{first_name}},,consultoria,Ultra-corto,C,SÍ,cta_test_2025w44,126,informal,low,Responde STOP para salir,active,2025-10-30
DM3-U3,bulk,EN,neutral,general,Full docs fast,2–5 min,Priority access,3 seats,YES,YES,https://tudominio.com/demo-ia-bulk,iabulk_uc_en,{{first_name}},,,Ultra-short,C,YES,cta_test_2025w44,110,neutral,low,Reply STOP to opt out,active,2025-10-30
DM1-U4,curso,ES,vos,general,3 casos en 60',Ahorro hoy,Lista chica,8 cupos,RESERVA,RESERVA,https://tudominio.com/webinar-ia,webinar_ia_uc_latam,{{first_name}},,,Ultra-corto,A,RESERVA,cta_test_2025w44,118,informal,low,Responde STOP para salir,active,2025-10-30
DM2-U4,saas,ES,usted,enterprise,Integraciones clave,Onboarding simple,NDA ok,2 agendas,CALENDARIO,CALENDARIO,https://tudominio.com/demo-saas-ia,saas_uc_ndas,{{first_name}},{{company}},,Ultra-corto,B,CALENDARIO,cta_test_2025w44,132,formal,low,Responde STOP para salir,active,2025-10-30
DM3-U4,bulk,PT,neutral,general,Docs completos,2–5 min,Acesso prioritário,3 vagas,SIM,SIM,https://tudominio.com/demo-ia-bulk,iabulk_uc_pt,{{first_name}},,,Ultra-curto,C,SIM,cta_test_2025w44,117,neutral,low,Responda STOP para sair,active,2025-10-30
